iter	Passed	Remaining
855	13888	18561
856	13912	18555
857	13928	18538
858	13942	18519
859	13961	18507
860	13977	18489
861	13994	18475
862	14011	18460
863	14026	18441
864	14045	18430
865	14064	18417
866	14080	18401
867	14096	18383
868	14114	18369
869	14128	18351
870	14144	18334
871	14158	18315
872	14174	18298
873	14191	18282
874	14205	18264
875	14223	18250
876	14238	18231
877	14254	18215
878	14269	18198
879	14285	18181
880	14302	18166
881	14316	18147
882	14333	18132
883	14349	18115
884	14366	18099
885	14385	18087
886	14406	18077
887	14423	18062
888	14438	18044
889	14453	18026
890	14467	18007
891	14483	17990
892	14498	17972
893	14516	17958
894	14530	17940
895	14547	17925
896	14563	17907
897	14579	17891
898	14591	17870
899	14607	17853
900	14625	17839
901	14641	17822
902	14656	17805
903	14677	17794
904	14692	17777
905	14706	17758
906	14722	17741
907	14738	17725
908	14752	17706
909	14770	17692
910	14787	17676
911	14802	17658
912	14817	17641
913	14832	17624
914	14852	17611
915	14873	17601
916	14907	17606
917	14923	17589
918	14939	17572
919	14958	17560
920	14973	17542
921	14987	17522
922	15004	17507
923	15021	17492
924	15038	17476
925	15054	17461
926	15073	17447
927	15089	17430
928	15103	17412
929	15118	17394
930	15132	17375
931	15148	17358
932	15166	17344
933	15181	17327
934	15196	17309
935	15210	17290
936	15225	17272
937	15240	17255
938	15257	17240
939	15277	17227
940	15289	17207
941	15307	17192
942	15322	17175
943	15341	17161
944	15359	17147
945	15372	17128
946	15390	17113
947	15407	17097
948	15418	17076
949	15434	17059
950	15449	17041
951	15463	17023
952	15480	17007
953	15500	16995
954	15519	16981
955	15533	16963
956	15550	16948
957	15569	16934
958	15582	16914
959	15600	16900
960	15617	16885
961	15631	16866
962	15648	16851
963	15664	16834
964	15679	16817
965	15695	16800
966	15711	16784
967	15726	16765
968	15740	16747
969	15758	16733
970	15770	16712
971	15784	16693
972	15801	16678
973	15822	16666
974	15837	16649
975	15853	16633
976	15870	16617
977	15886	16600
978	15902	16585
979	15917	16566
980	15933	16550
981	15948	16533
982	15964	16516
983	15981	16501
984	15999	16486
985	16014	16469
986	16032	16454
987	16048	16438
988	16062	16419
989	16078	16402
990	16093	16385
991	16109	16369
992	16125	16352
993	16139	16334
994	16160	16323
995	16177	16307
996	16194	16291
997	16209	16274
998	16224	16257
999	16239	16239
1000	16257	16224
1001	16270	16205
1002	16286	16188
1003	16307	16177
1004	16323	16160
1005	16336	16142
1006	16353	16126
1007	16367	16108
1008	16381	16089
1009	16403	16078
1010	16419	16061
1011	16432	16042
1012	16450	16028
1013	16469	16015
1014	16486	15999
1015	16502	15983
1016	16517	15965
1017	16532	15947
1018	16550	15933
1019	16564	15914
1020	16578	15896
1021	16595	15881
1022	16611	15864
1023	16630	15851
1024	16646	15834
1025	16661	15816
1026	16674	15797
1027	16687	15778
1028	16700	15759
1029	16714	15740
1030	16732	15725
1031	16750	15711
1032	16765	15694
1033	16780	15677
1034	16797	15661
1035	16813	15644
1036	16827	15626
1037	16843	15609
1038	16863	15597
1039	16878	15580
1040	16892	15562
1041	16906	15543
1042	16922	15527
1043	16938	15510
1044	16955	15495
1045	16969	15476
1046	16982	15457
1047	16997	15440
1048	17014	15424
1049	17031	15409
1050	17049	15394
1051	17082	15393
1052	17096	15375
1053	17116	15362
1054	17137	15350
1055	17161	15341
1056	17221	15363
1057	17269	15375
1058	17293	15366
1059	17312	15352
1060	17327	15335
1061	17344	15319
1062	17364	15306
1063	17382	15291
1064	17391	15268
1065	17406	15250
1066	17419	15231
1067	17435	15215
1068	17452	15199
1069	17469	15183
1070	17484	15166
1071	17499	15148
1072	17515	15132
1073	17530	15115
1074	17546	15097
1075	17561	15081
1076	17577	15064
1077	17594	15048
1078	17611	15032
1079	17624	15013
1080	17639	14995
1081	17659	14982
1082	17676	14966
1083	17691	14949
1084	17706	14932
1085	17722	14915
1086	17739	14899
1087	17755	14883
1088	17771	14867
1089	17787	14849
1090	17802	14832
1091	17819	14816
1092	17837	14802
1093	17851	14784
1094	17869	14768
1095	17887	14754
1096	17905	14739
1097	17922	14723
1098	17937	14706
1099	17955	14690
1100	17969	14672
1101	17984	14654
1102	17999	14637
1103	18014	14620
1104	18028	14602
1105	18041	14583
1106	18056	14565
1107	18073	14550
1108	18092	14535
1109	18107	14518
1110	18122	14501
1111	18138	14484
1112	18153	14467
1113	18168	14450
1114	18186	14434
1115	18202	14418
1116	18220	14403
1117	18235	14386
1118	18252	14370
1119	18273	14358
1120	18292	14343
1121	18307	14326
1122	18324	14310
1123	18342	14295
1124	18358	14278
1125	18375	14263
1126	18392	14247
1127	18410	14232
1128	18431	14219
1129	18448	14203
1130	18463	14186
1131	18478	14169
1132	18497	14154
1133	18515	14139
1134	18529	14121
1135	18545	14105
1136	18559	14086
1137	18573	14069
1138	18589	14052
1139	18602	14033
1140	18616	14015
1141	18631	13997
1142	18644	13979
1143	18659	13962
1144	18676	13946
1145	18692	13929
1146	18706	13911
1147	18720	13893
1148	18737	13877
1149	18751	13859
1150	18765	13841
1151	18779	13823
1152	18796	13807
1153	18813	13792
1154	18830	13776
1155	18844	13758
1156	18863	13744
1157	18882	13729
1158	18898	13713
1159	18917	13698
1160	18931	13680
1161	18947	13664
1162	18962	13647
1163	18978	13630
1164	18993	13613
1165	19011	13598
1166	19027	13582
1167	19044	13565
1168	19061	13550
1169	19077	13533
1170	19091	13515
1171	19109	13500
1172	19123	13482
1173	19139	13466
1174	19159	13452
1175	19178	13438
1176	19195	13422
1177	19211	13405
1178	19228	13390
1179	19243	13372
1180	19260	13356
1181	19275	13339
1182	19289	13321
1183	19305	13305
1184	19321	13288
1185	19336	13271
1186	19353	13255
1187	19367	13237
1188	19380	13218
1189	19396	13202
1190	19415	13187
1191	19430	13170
1192	19445	13154
1193	19462	13137
1194	19475	13119
1195	19490	13102
1196	19503	13083
1197	19515	13064
1198	19531	13047
1199	19545	13030
1200	19562	13014
1201	19576	12996
1202	19588	12977
1203	19606	12962
1204	19621	12945
1205	19636	12928
1206	19653	12912
1207	19668	12895
1208	19683	12877
1209	19702	12863
1210	19722	12849
1211	19737	12832
1212	19756	12818
1213	19772	12801
1214	19787	12784
1215	19803	12768
1216	19818	12750
1217	19833	12733
1218	19850	12718
1219	19866	12701
1220	19880	12684
1221	19901	12670
1222	19916	12653
1223	19933	12637
1224	19949	12621
1225	19966	12605
1226	19982	12588
1227	19999	12573
1228	20014	12555
1229	20029	12538
1230	20045	12522
1231	20066	12509
1232	20084	12493
1233	20103	12478
1234	20119	12462
1235	20135	12446
1236	20151	12429
1237	20166	12412
1238	20181	12395
1239	20196	12378
1240	20216	12364
1241	20231	12347
1242	20246	12330
1243	20259	12312
1244	20275	12295
1245	20291	12279
1246	20307	12262
1247	20321	12245
1248	20338	12229
1249	20357	12214
1250	20380	12201
1251	20405	12191
1252	20421	12174
1253	20450	12165
1254	20480	12158
1255	20533	12163
1256	20566	12156
1257	20592	12145
1258	20618	12135
1259	20633	12117
1260	20647	12100
1261	20662	12082
1262	20676	12065
1263	20688	12046
1264	20701	12028
1265	20721	12014
1266	20738	11997
1267	20752	11980
